,,n,legup/miser_indexed,legup//miser_indexed_man,legup/sort,legup/sort_indexed,legup/sort_indexed_man,legup/sum_indexed,legup/sum_indexed_man,legup/fft_indexed,legup/fft_indexed_man,legup/strassen_indexed,legup/strassed_indexed_man,,n,legup/fib,legup/fib_man
,,2,,,90,59,22,68,48,54,53,80,75,,1,14,10
,,4,,,110,88,51,182,128,329,280,412,407,,2,14,10
,,8,,,150,167,130,410,288,975,830,2852,2847,,3,73,45
,,16,7749,7743,230,409,372,866,608,2459,2122,21556,21551,,4,132,80
,,32,15318,15312,693,1480,1370,1778,1248,5811,5090,170066,169907,,5,250,150
,,64,31820,31773,1747,1874,1618,3602,2528,13283,11794,1265380,1264143,,6,427,255
,,128,,62877,4111,9698,8712,7250,5088,29763,26738,9154658,9145875,,7,722,430
,,256,,124562,19394,17073,16160,14546,10208,65795,59698,,,,8,1194,710
,,512,,246003,40202,34828,32820,29138,20448,144003,131762,,,,9,1961,1165
,,1024,,489526,86691,67681,63848,58322,40928,312707,288178,,,,10,3200,1900
,,2048,,975762,189510,134277,126356,116690,81888,674691,625586,,,,11,5206,3090
,,4096,,1931529,413285,300284,285501,233426,163808,1447811,1349554,,,,12,8451,5015
,,8192,,3852972,764305,621188,593192,,,3092355,2895794,,,,13,13702,8130
,,16384,,7719797,,,,,,,,,,,14,22198,13170
,,32768,,15360188,,,,,,,,,,,15,35945,21325
,,,,,,,,,,,,,,,16,58188,34520
,,,,,,,,,,,,,,,17,94178,55870
,,,,,,,,,,,,,,,18,152411,90415
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,#,Cycle:,88,Time:,1810,strassen_indexed_v2,n=,2,start,80,,,,,
,,,#,Cycle:,664,Time:,13330,strassen_indexed_v2,n=,4,start,412,,,,,
,,,#,Cycle:,4268,Time:,85410,strassen_indexed_v2,n=,8,start,2852,,,,,
,,,#,Cycle:,30008,Time:,600210,strassen_indexed_v2,n=,16,start,21556,,,,,
,,,#,Cycle:,224820,Time:,4496450,strassen_indexed_v2,n=,32,start,170066,,,,,
,,,#,Cycle:,1742862,Time:,34857290,strassen_indexed_v2,n=,64,start,1265380,,,,,
,,,#,Cycle:,13642234,Time:,272844730,strassen_indexed_v2,n=,128,start,9154658,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,#,Cycle:,20,Time:,450,fft_indexed,n=,2,start,,,,,
,,,,#,Cycle:,235,Time:,4750,fft_indexed,n=,4,start,,,,,
,,,,#,Cycle:,833,Time:,16710,fft_indexed,n=,8,start,,,,,
,,,,#,Cycle:,2353,Time:,47110,fft_indexed,n=,16,start,,,,,
,,,,#,Cycle:,5909,Time:,118230,fft_indexed,n=,32,start,,,,,
,,,,#,Cycle:,14251,Time:,285070,fft_indexed,n=,64,start,,,,,
,,,,#,Cycle:,32558,Time:,651210,fft_indexed,n=,128,start,,,,,
,,,,#,Cycle:,72571,Time:,1451470,fft_indexed,n=,256,start,,,,,
,,,,#,Cycle:,157208,Time:,3144210,fft_indexed,n=,512,start,,,,,
,,,,#,Cycle:,338572,Time:,6771490,fft_indexed,n=,1024,start,,,,,
,,,,#,Cycle:,732503,Time:,14650110,fft_indexed,n=,2048,start,,,,,
,,,,#,Cycle:,1390861,Time:,27817270,fft_indexed,n=,4096,start,,,,,
,,,,#,Cycle:,2805955,Time:,56119150,fft_indexed,n=,8192,start,,,,,
